TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Install and configure apps,4,1,Garrett (5042555),,today,en,America/New_York
,,,,,,,,
task,macOS,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Hot corners,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,iCloud Accounts,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Unlock with Apple Watch,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Don’t go to sleep when plugged in,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Enhanced dictation (download for offline),4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,HAL 9000 screensaver [https://drive.google.com/drive/folders/0B0NyR8-zKS20UVlnZmZlaldfbXM?usp=sharing (Download)],4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Generated backgrounds (my Bash script),4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Google Chrome,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Personal profile,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Work profile,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,InSync [https://www.insynchq.com/downloads/mac (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Personal,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Work,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Moom [https://manytricks.com/moom/ (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,BetterTouchTool [https://www.boastr.net/downloads/ (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,iTerm 2 [https://www.iterm2.com/downloads.html (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Load preferences from GD Backups folder,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Terminal dotfiles,4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Terminal developer tools (through Xcode?),4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Homebrew [https://brew.sh/ (Link)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,MacVim [http://macvim-dev.github.io/macvim/ (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Todoist [https://itunes.apple.com/us/app/todoist-to-do-list-task-list/id585829637?mt=12&ign-mpt=uo%3D4 (Mac App Store)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Airmail 3 [https://itunes.apple.com/us/app/airmail-3/id918858936?mt=12 (Mac App Store)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Import accounts from iCloud sync,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Gmail,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Work,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,School,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Evernote [https://itunes.apple.com/us/app/evernote-stay-organized/id406056744?mt=12 (Mac App Store)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Spotify [https://www.spotify.com/us/download/mac/ (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,High quality streaming,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Download playlists,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Add Music folder from Google Drive,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Goofy (Facebook Messenger) [http://www.goofyapp.com/ (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Alfred [https://www.alfredapp.com/ (Download)],4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Set up game save sync locations (GD Games folder),4,2,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Minecraft,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Papers Please,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Osmos,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
task,Lumino City,4,3,Garrett (5042555),,,en,America/New_York
,,,,,,,,
